id,item_id,store_id,state_id,date,policy,forecast_model,actual_demand,selected_forecast,forecast_naive,forecast_ma28,forecast_lightgbm,forecast_lightgbm_tuned,on_hand_inventory,inventory_position,reorder_point,order_quantity,fulfilled_demand,lost_sales,stockout_flag,holding_cost,ordering_cost,stockout_cost,total_daily_cost,scenario,lead_time,service_level_target
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-03-28,fixed_reorder_rule,Fixed Rule,2.0,,28.0,8.357142857142858,9.355192255456652,8.82852684475819,182.0,182.0,68.80038335371204,0,2.0,0.0,0,1.7836,0.0,0.0,1.7836,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-03-29,fixed_reorder_rule,Fixed Rule,8.0,,20.0,8.964285714285714,10.569970747062218,10.300224289554896,174.0,174.0,68.80038335371204,0,8.0,0.0,0,1.7052,0.0,0.0,1.7052,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-03-30,fixed_reorder_rule,Fixed Rule,10.0,,8.0,9.214285714285714,9.910875603111268,8.201865697846877,164.0,164.0,68.80038335371204,0,10.0,0.0,0,1.6072,0.0,0.0,1.6072,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-03-31,fixed_reorder_rule,Fixed Rule,13.0,,9.0,9.535714285714286,9.682839527940528,8.669287395622655,151.0,151.0,68.80038335371204,0,13.0,0.0,0,1.4798,0.0,0.0,1.4798,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-01,fixed_reorder_rule,Fixed Rule,15.0,,19.0,9.892857142857142,12.59787219435577,11.26896312392302,136.0,136.0,68.80038335371204,0,15.0,0.0,0,1.3328,0.0,0.0,1.3328,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-02,fixed_reorder_rule,Fixed Rule,35.0,,22.0,10.5,14.220179945296117,14.263089547907134,101.0,101.0,68.80038335371204,0,35.0,0.0,0,0.9898,0.0,0.0,0.9898,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-03,fixed_reorder_rule,Fixed Rule,24.0,,24.0,11.142857142857142,15.137591223825153,14.32109792171456,77.0,77.0,68.80038335371204,0,24.0,0.0,0,0.7545999999999999,0.0,0.0,0.7545999999999999,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-04,fixed_reorder_rule,Fixed Rule,22.0,,22.0,11.821428571428571,11.19221419921692,10.334418047383965,55.0,55.0,68.80038335371204,129,22.0,0.0,0,0.539,5.0,0.0,5.539,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-05,fixed_reorder_rule,Fixed Rule,7.0,,10.0,12.142857142857142,13.420358709821285,12.144777331704722,48.0,177.0,68.80038335371204,0,7.0,0.0,0,0.4704,0.0,0.0,0.4704,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-06,fixed_reorder_rule,Fixed Rule,7.0,,5.0,12.142857142857142,11.971906354267974,12.4746810611057,41.0,170.0,68.80038335371204,0,7.0,0.0,0,0.4018,0.0,0.0,0.4018,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-07,fixed_reorder_rule,Fixed Rule,3.0,,7.0,12.142857142857142,10.039253936117944,9.345118878253787,167.0,167.0,68.80038335371204,0,3.0,0.0,0,1.6366,0.0,0.0,1.6366,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-08,fixed_reorder_rule,Fixed Rule,38.0,,31.0,12.821428571428571,15.88430110784118,14.228952568193272,129.0,129.0,68.80038335371204,0,38.0,0.0,0,1.2642,0.0,0.0,1.2642,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-09,fixed_reorder_rule,Fixed Rule,15.0,,19.0,13.107142857142858,16.512258239963064,13.877898896249311,114.0,114.0,68.80038335371204,0,15.0,0.0,0,1.1172,0.0,0.0,1.1172,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-10,fixed_reorder_rule,Fixed Rule,20.0,,25.0,14.0,15.063654395574854,12.955010871943152,94.0,94.0,68.80038335371204,0,20.0,0.0,0,0.9212,0.0,0.0,0.9212,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-11,fixed_reorder_rule,Fixed Rule,13.0,,16.0,14.535714285714286,13.865729503134562,11.245293173096448,81.0,81.0,68.80038335371204,0,13.0,0.0,0,0.7938,0.0,0.0,0.7938,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-12,fixed_reorder_rule,Fixed Rule,22.0,,6.0,14.75,14.729966154992844,13.851630436880711,59.0,59.0,68.80038335371204,125,22.0,0.0,0,0.5782,5.0,0.0,5.5782,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-13,fixed_reorder_rule,Fixed Rule,9.0,,2.0,14.535714285714286,10.8078923578544,8.214240282078546,50.0,175.0,68.80038335371204,0,9.0,0.0,0,0.49,0.0,0.0,0.49,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-14,fixed_reorder_rule,Fixed Rule,3.0,,5.0,14.285714285714286,13.487243041223277,10.70928244284007,47.0,172.0,68.80038335371204,0,3.0,0.0,0,0.4606,0.0,0.0,0.4606,short_lead_time,3,0.9
FOODS_1_113_WI_2_validation,FOODS_1_113,WI_2,WI,2016-04-15,fixed_reorder_rule,Fixed Rule,24.0,,22.0,14.678571428571429,17.00967493514457,13.219574530001667,148.0,148.0,68.80038335371204,0,24.0,0.0,0,1.4504,0.0,0.0,1.4504,short_lead_time,3,0.9
